Матвей Сафонов
Сослан Джанаев
Александр Жиров
Андрей Семенов
Семен Караваев
Георгий Джикия
Егор Сорокин
Игорь Дивеев
Игорь Смольник
Илья Кутепов
Марио Фернандес
Роман Евгеньев
Сергей Петров
Федор Кудряшов
Андрей Жирков
Александр Ерохин
Алексей Ионов
Алексей Миранчук
Андрей Мостовой
Антон Миранчук
Далер Кузяев
Даниил Фомин
Денис Черышев
Зелимхан Бакаев
Иван Обляков
Константин Кучаев
Магомед Оздоев
Роман Нойштедтер
Юрий Газинский
Александр Соболев
Антон Заболотный
Артем Дзюба
Николай Комличенко
Федор Смолов
